"statistic","ac.type","season","day.type","mean","sd","n","median","p10","p90","tcrit","bound","lower.95","upper.95"
"Outdoor SidePak","Evap","Summer","Wildfire Smoke",22.4659893061541,16.1731535631882,4,22.7560973884539,8.13701221761765,36.5628799288507,3.18244630528371,25.7350964009772,-3.26910709482307,48.2010857071313
"Outdoor SidePak","Evap","Winter","Normal",11.0221103393165,7.98990549745769,5,8.3169014084507,3.73955284461181,19.7290286771508,2.77644510519779,9.92077800524355,1.10133233407296,20.9428883445601
"Indoor SidePak","Central","Summer","Normal",5.42193699286328,2.71517238859664,17,4.810443490701,3.02603679008843,7.7432480338778,2.11990529922125,1.39601282565323,4.02592416721005,6.81794981851652
"Indoor SidePak","Central","Summer","Wildfire Smoke",20.4700295549604,7.55392659939974,3,16.9009083402147,15.6697794489029,26.6979281469162,4.30265272974946,18.7649939373628,1.70503561759756,39.2350234923232
"Indoor SidePak","Central","Winter","Normal",3.92558447370313,2.88612784853419,10,3.07106302385558,0.986775490165997,7.71151000566044,2.2621571627982,2.06461148796319,1.86097298573994,5.99019596166633
"Indoor SidePak","Evap","Summer","Normal",6.38919983500809,2.11123574994533,11,7.2457337883959,4.17768595041322,7.9126700071582,2.22813885198627,1.41834747597466,4.97085235903342,7.80754731098275
"Indoor SidePak","Evap","Summer","Wildfire Smoke",21.4582545882064,14.9698742180914,4,21.2982232149669,8.02197019088686,35.0225640841175,3.18244630528371,23.8204104479634,-2.36215585975705,45.2786650361698
"Indoor SidePak","Evap","Winter","Normal",4.21773993074427,2.23484061476677,5,4.33333333333333,1.92060342300494,6.47517044294754,2.77644510519779,2.77492113307946,1.44281879766481,6.99266106382373
"I/O","Central","Summer","Normal",0.588465071399634,0.330785712671828,17,0.550421463815789,0.29868743083921,1.10536502123872,2.11990529922125,0.170074319911375,0.41839075148826,0.758539391311009
"I/O","Central","Summer","Wildfire Smoke",0.346811697378638,0.156462470566079,3,0.344942827616095,0.222022191885458,0.472348750776834,4.30265272974946,0.388674323606822,-0.0418626262281848,0.73548602098546
"I/O","Central","Winter","Normal",0.629953821883463,0.555818155756085,10,0.365170821698248,0.160121418491338,1.34452977504236,2.2621571627982,0.397608356183994,0.232345465699469,1.02756217806746
"I/O","Evap","Summer","Normal",0.777316502311833,0.257267518215308,11,0.765189649060617,0.619130941965588,1.05664715719064,2.22813885198627,0.172834670462736,0.604481831849098,0.950151172774569
"I/O","Evap","Summer","Wildfire Smoke",0.974205719434811,0.0754546881672832,4,0.960638385546574,0.911696321738379,1.04756898424183,3.18244630528371,0.120065246787152,0.854140472647658,1.09427096622196
"I/O","Evap","Winter","Normal",0.476638738538265,0.236707236432526,5,0.480829155940929,0.25660602600539,0.718382300087111,2.77644510519779,0.293910853592574,0.182727884945691,0.77054959213084
"Cs","Central","Summer","Normal",4.85158901547634,3.31094041962767,17,3.84912660045102,2.15340100769271,7.96095807301672,2.11990529922125,1.70232848204636,3.14926053342998,6.5539174975227
"Cs","Central","Summer","Wildfire Smoke",-5.32004943166132,11.7811701323607,3,-6.59093662507626,-14.4495890899531,4.31784510399644,4.30265272974946,29.2660490143439,-34.5860984460052,23.9459995826826
"Cs","Central","Winter","Normal",3.35744891919428,2.34143404085268,10,2.66091651374654,1.19729289153315,6.21661595534705,2.2621571627982,1.67496101099876,1.68248790819552,5.03240993019304
"Cs","Evap","Summer","Normal",4.91271386278359,2.29853490240464,11,5.23310602998291,2.92731427907404,6.28198981018802,2.22813885198627,1.54417675872991,3.36853710405369,6.4568906215135
"Cs","Evap","Summer","Wildfire Smoke",0.470130403929989,4.23954140713269,4,-0.0495813242098855,-3.08447350641816,4.44050369679004,3.18244630528371,6.74605644361336,-6.27592603968337,7.21618684754335
"Cs","Evap","Winter","Normal",4.13843673871724,2.38756329271417,5,3.87513095417427,1.91411139395999,6.66900984787043,2.77644510519779,2.96455138399602,1.17388535472122,7.10298812271327
"Fin","Central","Summer","Normal",0.0714836699950267,0.214762960399426,17,0.0271599366255163,-0.0964983691263223,0.23593884633731,2.11990529922125,0.11042092518767,-0.0389372551926432,0.181904595182697
"Fin","Central","Summer","Wildfire Smoke",0.368863098022683,0.147875339425909,3,0.29402744095247,0.277496913992189,0.490163544881261,4.30265272974946,0.367342707305781,0.00152039071690152,0.736205805328463
"Fin","Central","Winter","Normal",0.0742596714190121,0.135344305970778,10,0.0424950250081547,-0.0551393453399159,0.25274935565214,2.2621571627982,0.0968194839600026,-0.0225598125409905,0.171079155379015
"Fin","Evap","Summer","Normal",0.178476229047965,0.174658576229773,11,0.196218725125574,0.0620340699295747,0.359008573219247,2.22813885198627,0.117337228094608,0.0611390009533567,0.295813457142573
"Fin","Evap","Summer","Wildfire Smoke",0.967883943551303,0.101253729426389,4,1.01274108475149,0.875110034571509,1.02477213957095,3.18244630528371,0.161117278554604,0.8067666649967,1.12900122210591
"Fin","Evap","Winter","Normal",-0.00698484373157922,0.0549792290276233,5,0.0249537661416483,-0.0684083803831267,0.0373845568758886,2.77644510519779,0.0682657293325993,-0.0752505730641785,0.06128088560102
"R2","Central","Summer","Normal",0.0700588968458824,0.0844060326920566,17,0.01819772436,0.001744531522,0.15810742897,2.11990529922125,0.0433975775149656,0.0266613193309167,0.113456474360848
"R2","Central","Summer","Wildfire Smoke",0.466814534473333,0.325125417413192,3,0.57361677032,0.196101005768,0.69480716884,4.30265272974946,0.807656310444679,-0.340841775971345,1.27447084491801
"R2","Central","Winter","Normal",0.059014954673,0.0749733809331856,10,0.02342150256,0.012040040451,0.134404931955,2.2621571627982,0.0536327258145237,0.00538222885847635,0.112647680487524
"R2","Evap","Summer","Normal",0.179015563893636,0.235158448730439,11,0.07652557321,0.02506431535,0.63093895072,2.22813885198627,0.157981595480075,0.0210339684135616,0.336997159373711
"R2","Evap","Summer","Wildfire Smoke",0.8005395871175,0.0679140710663516,4,0.77142565659,0.760187171517,0.86418314714,3.18244630528371,0.108066442270943,0.692473144846557,0.908606029388443
"R2","Evap","Winter","Normal",0.044049439462,0.0253840392420274,5,0.04724757764,0.0183115602,0.066440147078,2.77644510519779,0.031518447655817,0.012530991806183,0.075567887117817
