House.Number,Visit,house.number.visit,ac.type,first.day,Monitor.closest,PM2.5.UDAQ.ug.m3,season,day.type,SidePak.ug.m3.avg_In,SidePak.ug.m3.avg_Out,I/O_PM,Cs,Cs.lower,Cs.upper,Fin,Fin.lower,Fin.upper,p.value,R2,sig,I/O_O3
H06,V2,H06 V2,AC,2022-11-17T00:00:00Z,Lindon,9.525,Winter,Normal,5.917309039943938,5.299229152067274,1.116635810632108,6.064557746399962,5.998673364861722,6.130442127938202,-0.027786816201116542,-0.03721283343544605,-0.018360798966787037,9.022296714345851e-9,0.02292804612,sig,NA
H07,V1,H07 V1,AC,2022-08-03T00:00:00Z,Lindon,10.585714285714285,Summer,Normal,8.085488505747126,23.50574712643678,0.343979217603912,10.562637449792897,10.094041667169742,11.031233232416051,-0.10538482060243447,-0.12452602959035355,-0.08624361161451538,3.628686088894704e-26,0.0774210357,sig,0.10733452593917711
H08,V1,H08 V1,AC,2022-08-09T00:00:00Z,Lindon,5.3125,Summer,Normal,13.66554054054054,12.550675675675675,1.088829071332436,14.802306294420445,13.40406474230414,16.20054784653675,-0.09057406814224746,-0.2007304962352514,0.019582359950756495,0.1066906466920918,0.00882813316,non-sig,0.17402597402597403
H08,V2,H08 V2,AC,2022-09-08T00:00:00Z,Lindon,16.2375,Summer,Wildfire Smoke,16.9009083402147,33.52023121387283,0.5042002315670189,7.045040536264624,5.322655366002284,8.767425706526964,0.29402744095246963,0.2447264575122683,0.34332842439267097,4.904625344205553e-30,0.10172206463,sig,0.08505154639175258
H08,V3,H08 V3,AC,2023-04-13T00:00:00Z,Lindon,3.6043478260869564,Winter,Normal,2.9432624113475176,4.085106382978723,0.7204861111111112,2.4700635044788264,2.1927985323297285,2.7473284766279242,0.11583514907722996,0.06749152643279249,0.16417877172166742,3.7885816775158104e-6,0.07360372812,sig,NA
H09,V1,H09 V1,AC,2022-08-09T00:00:00Z,Lindon,5.420833333333333,Summer,Normal,4.810443490701002,3.829041487839771,1.2563048757705961,4.706446966554826,4.609858625861103,4.803035307248549,0.027159936625516252,0.010254017755830905,0.0440658554952016,0.001658969051055561,0.00706423703,sig,0.24727272727272726
H10,V3,H10 V3,AC,2023-08-03T00:00:00Z,Spanish Fork,4.8625,Summer,Normal,4.787835926449787,5.888260254596888,0.8131155416766754,4.4327275744869885,4.2580246623377365,4.6074304866362406,0.06030785607438873,0.031766876673331806,0.08884883547544566,3.6000854495310766e-5,0.01202164263,sig,0.10365853658536583
H11,V1,H11 V1,AC,2022-08-16T00:00:00Z,Spanish Fork,4.796153846153846,Summer,Normal,5.044636908727515,16.628247834776815,0.3033775391642294,3.6534403630172996,3.4391549737693143,3.867725752265285,0.08366465063147357,0.07377611957825163,0.09355318168469552,6.453762776043177e-57,0.15522378865,sig,0.13665943600867678
H11,V2,H11 V2,AC,2022-11-16T00:00:00Z,Spanish Fork,8.124,Winter,Normal,9.310874704491725,7.121749408983452,1.3073858921161825,7.585139835870808,7.202669449130774,7.967610222610842,0.24231895416652893,0.19835109323048172,0.28628681510257614,1.2484425701661386e-25,0.12176317554,sig,NA
H12,V1,H12 V1,AC,2022-08-11T00:00:00Z,Lindon,5.2375,Summer,Normal,5.9727891156462585,5.284863945578231,1.1301689460981497,1.9068825374104246,1.5232937458916187,2.2904713289292307,0.7693493380539592,0.7023546328719289,0.8363440432359895,1.0367980151545914e-93,0.30187319258,sig,0.291358024691358
H12,V2,H12 V2,AC,2023-03-27T00:00:00Z,Lindon,2.612,Winter,Normal,4.672343324250681,17.669618528610354,0.2644280812675894,5.658508299607925,5.189378505618078,6.1276380935977715,-0.05581133366068168,-0.08139924908941835,-0.03022341823194501,2.003200206444606e-5,0.01233289973,sig,NA
H13,V1,H13 V1,AC,2022-08-10T00:00:00Z,Lindon,5.679166666666667,Summer,Normal,4.798710601719198,6.324498567335244,0.7587495752633368,4.392861735223191,4.186249127914161,4.59947434253222,0.06417091602995584,0.03940606837216556,0.08893576368774611,4.2175903841714487e-7,0.01819772436,sig,0.1511111111111111
H13,V2,H13 V2,AC,2023-04-04T00:00:00Z,Lindon,1.2,Winter,Normal,3.1988636363636362,7.199573863636363,0.444312913090658,3.595305867091938,3.4563476215653397,3.7342641126185363,-0.05506467997094196,-0.06961982295519775,-0.04050953698668616,1.9998988419009426e-13,0.03769509893,sig,NA
H14,V1,H14 V1,AC,2022-08-15T00:00:00Z,Spanish Fork,5.45,Summer,Normal,5.264663805436338,8.268240343347639,0.6367332814257289,5.903390098560608,5.521509965581222,6.285270231539993,-0.07725057165739235,-0.1204679913684347,-0.03403315194635002,4.685152596308604e-4,0.0087305504,sig,NA
H14,V2,H14 V2,AC,2022-09-09T00:00:00Z,Spanish Fork,35.40416666666667,Summer,Wildfire Smoke,15.361997226074896,80.30651872399446,0.19129203295279873,-6.590936625076264,-7.610615539987593,-5.571257710164934,0.27336428225211923,0.261181038375669,0.2855475261285695,7.929241073741219e-269,0.57361677032,sig,0.06952965235173823
H16,V2,H16 V2,AC,2022-09-09T00:00:00Z,Spanish Fork,35.56666666666666,Summer,Wildfire Smoke,29.14718309859155,84.49859154929578,0.34494282761609496,-16.41425220617231,-17.914951181763218,-14.913553230581405,0.5391975708634587,0.5219029128137458,0.5564922289131715,0,0.72510476847,sig,0.06874999999999999
