House.Number,Visit,house.number.visit,house.number.visit.date,Location,first.day,Ozone.UDAQ.ppb,UDAQ.n_OZONE,season,Monitor.closest,O3.mg.m3,O3.ppb,O3.LOD.ppb,O3.Below.detection,ozone.max,average.RH,min.RH,max.RH,average.Temp,min.Temp,max.Temp,time.hours,Type of Air Conditioner,ac.type,flow_level
H16,V2,H16 V2,2022-09-09 H16 V2,In,2022-09-09T00:00:00Z,53.458333333333336,24,Summer,Spanish Fork,<0.006,NA,3.334615299802446,TRUE,0.0033,37.948951048951045,32,42.9,22.73111888111888,21.6,24.5,23.833333333333332,Central,AC,High
H16,V2,H16 V2,2022-09-09 H16 V2,Out,2022-09-09T00:00:00Z,53.458333333333336,24,Summer,Spanish Fork,0.08,48.02111481567965,3.3699027940827815,FALSE,0.048,26.473684210526315,1.4,57.1,18.989968854166666,9.49257,28.81496,24,Central,AC,High
H16,V4,H16 V4,2023-08-14 H16 V4,In,2023-08-14T00:00:00Z,45.208333333333336,24,Summer,Spanish Fork,<0.0056,NA,3.382718836094035,TRUE,0.0034,41.08159722222222,36.9,45.5,24.083680555555556,22.7,25.5,24,Central,AC,High
H16,V4,H16 V4,2023-08-14 H16 V4,Out,2023-08-14T00:00:00Z,45.208333333333336,24,Summer,Spanish Fork,6.4000000000000001E-2,38.88111426127313,3.4560990454465,FALSE,0.0389,38.85486111111111,13.5,66.1,26.623394172413793,17.84868,36.076,24.166666666666668,Central,AC,High
H18,V1,H18 V1,2022-09-01 H18 V1,In,2022-09-01T00:00:00Z,44.583333333333336,24,Summer,Spanish Fork,4.1000000000000002E-2,24.474075272222002,3.496296467460286,FALSE,0.0245,37.8576512455516,28.1,44.5,25.819572953736653,22.3,33.2,23.416666666666668,Evaporative,EC,High
H18,V1,H18 V1,2022-09-01 H18 V1,Out,2022-09-01T00:00:00Z,44.583333333333336,24,Summer,Spanish Fork,7.8E-2,47.05231026526013,3.421986201109828,FALSE,0.0471,17.596140350877192,2,40.6,25.86066705263158,15.40655,36.24805,23.75,Evaporative,EC,High
H19,V1,H19 V1,2022-09-02 H19 V1,In,2022-09-02T00:00:00Z,47.583333333333336,24,Summer,Spanish Fork,5.0999999999999997E-2,30.188442304686347,3.450107691964153,FALSE,0.0302,40.743508771929825,18.6,61.6,22.08105263157895,19.7,25.1,23.75,Evaporative,EC,High
H19,V1,H19 V1,2022-09-02 H19 V1,Out,2022-09-02T00:00:00Z,47.583333333333336,24,Summer,Spanish Fork,7.5999999999999998E-2,46.4340237657898,3.4395573159844295,FALSE,0.0464,19.16561403508772,7.8,29,25.50321236933798,14.3381,38.49797,23.916666666666668,Evaporative,EC,High
H19,V3,H19 V3,2023-08-31 H19 V3,In,2023-08-31T00:00:00Z,39.69565217391305,23,Summer,Spanish Fork,4.1000000000000002E-2,24.688061239683257,3.526865891383322,FALSE,0.0247,NA,NA,NA,NA,NA,NA,NA,Evaporative,EC,High
H19,V3,H19 V3,2023-08-31 H19 V3,Out,2023-08-31T00:00:00Z,39.69565217391305,23,Summer,Spanish Fork,6.6000000000000003E-2,40.0430099501151,3.5593786622324526,FALSE,0.04,36.4016393115942,18.99696,78.20777,23.141701449275363,15.16651,31.33313,23,Evaporative,EC,High
