"House.Number","Visit","house.number.visit","house.number.visit.date","Type of Air Conditioner","ac.type","ac.season","first.day","Monitor.closest","PM2.5.UDAQ.ug.m3","season","day.type","SidePak.ug.m3.avg_In","SidePak.ug.m3.avg_Out","average.Temp_In","average.Temp_Out","average.RH_In","average.RH_Out","min.Temp_In","min.Temp_Out","max.Temp_In","max.Temp_Out","I/O","Outdoor.SidePak.UDAQ.ratio","Outdoor.SidePak.UDAQ.diff","Cs","Cs.lower","Cs.upper","Fin","Fin.lower","Fin.upper","p.value","R2","sig"
"H06","V2","H06 V2","2022-11-17 H06 V2","Central","Central","Central-Winter",2022-11-17,"Lindon",9.525,"Winter","Normal",5.91730903994394,5.29922915206727,18.2215277777778,-0.0766550522648083,28.5892361111111,60.9689895470383,14.9,-5.1,22.7,9.8,1.11663581063211,0.556349517277404,-4.22577084793273,6.06455774639996,5.99867336486172,6.1304421279382,-0.0277868162011165,-0.037212833435446,-0.018360798966787,9.02229671434585e-09,0.02292804612,"sig"
"H07","V1","H07 V1","2022-08-03 H07 V1","Central","Central","Central-Summer",2022-08-03,"Lindon",10.5857142857143,"Summer","Normal",8.08548850574713,23.5057471264368,16.6249240121581,26.3304485410334,56.0726443768997,42.305017921147,14.6,18.17037,19.6,36.47093,0.343979217603912,2.22051592287527,12.9200328407225,10.5626374497929,10.0940416671697,11.0312332324161,-0.105384820602434,-0.124526029590354,-0.0862436116145154,3.6286860888947e-26,0.0774210357,"sig"
"H08","V1","H08 V1","2022-08-09 H08 V1","Central","Central","Central-Summer",2022-08-09,"Lindon",5.3125,"Summer","Normal",13.6655405405405,12.5506756756757,23.1798611111111,27.3621040484429,38.1190972222222,34.5576923076923,22,21.59826,24.6,35.37707,1.08882907133244,2.36248012718601,7.23817567567568,14.8023062944204,13.4040647423041,16.2005478465368,-0.0905740681422475,-0.200730496235251,0.0195823599507565,0.106690646692092,0.00882813316,"non-sig"
"H08","V2","H08 V2","2022-09-08 H08 V2","Central","Central","Central-Summer",2022-09-08,"Lindon",16.2375,"Summer","Wildfire Smoke",16.9009083402147,33.5202312138728,22.5737931034483,22.8900816438356,34.6544827586207,28.1406896551724,18.8,13.48341,24.3,33.60671,0.504200231567019,2.06437143734398,17.2827312138728,7.04504053626462,5.32265536600228,8.76742570652696,0.29402744095247,0.244726457512268,0.343328424392671,4.90462534420555e-30,0.10172206463,"sig"
"H08","V3","H08 V3","2023-04-13 H08 V3","Central","Central","Central-Winter",2023-04-13,"Lindon",3.60434782608696,"Winter","Normal",2.94326241134752,4.08510638297872,NA,NA,NA,NA,NA,NA,NA,NA,0.720486111111111,1.13338295305803,0.480758556891767,2.47006350447883,2.19279853232973,2.74732847662792,0.11583514907723,0.0674915264327925,0.164178771721667,3.78858167751581e-06,0.07360372812,"sig"
"H09","V1","H09 V1","2022-08-09 H09 V1","Central","Central","Central-Summer",2022-08-09,"Lindon",5.42083333333333,"Summer","Normal",4.810443490701,3.82904148783977,22.3958041958042,27.5389590443686,48.7272727272727,35.4478723404255,22,21.59826,22.9,36.72726,1.2563048757706,0.706356615742925,-1.59179184549356,4.70644696655483,4.6098586258611,4.80303530724855,0.0271599366255163,0.0102540177558309,0.0440658554952016,0.00165896905105556,0.00706423703,"sig"
"H10","V3","H10 V3","2023-08-03 H10 V3","Central","Central","Central-Summer",2023-08-03,"Spanish Fork",4.8625,"Summer","Normal",4.78783592644979,5.88826025459689,22.2812720848057,21.4895338515901,58.1003533568905,52.5466431095406,22,13.20569,24.2,31.97441,0.813115541676675,1.21095326572687,1.02576025459689,4.43272757448699,4.25802466233774,4.60743048663624,0.0603078560743887,0.0317668766733318,0.0888488354754457,3.60008544953108e-05,0.01202164263,"sig"
"H11","V1","H11 V1","2022-08-16 H11 V1","Central","Central","Central-Summer",2022-08-16,"Spanish Fork",4.79615384615385,"Summer","Normal",5.04463690872752,16.6282478347768,23.8973770491803,26.7948426143791,46.6088524590164,35.9674342105263,21.8,17.80838,26.6,34.92677,0.303377539164229,3.46699634085162,11.832093988623,3.6534403630173,3.43915497376931,3.86772575226528,0.0836646506314736,0.0737761195782516,0.0935531816846955,6.45376277604318e-57,0.15522378865,"sig"
"H11","V2","H11 V2","2022-11-16 H11 V2","Central","Central","Central-Winter",2022-11-16,"Spanish Fork",8.124,"Winter","Normal",9.31087470449173,7.12174940898345,20.121107266436,-0.0830449826989619,42.0733564013841,60.7951557093426,18.1,-6.9,21.4,31.8,1.30738589211618,0.876630897216082,-1.00225059101655,7.58513983587081,7.20266944913077,7.96761022261084,0.242318954166529,0.198351093230482,0.286286815102576,1.24844257016614e-25,0.12176317554,"sig"
"H12","V1","H12 V1","2022-08-11 H12 V1","Central","Central","Central-Summer",2022-08-11,"Lindon",5.2375,"Summer","Normal",5.97278911564626,5.28486394557823,23.8261324041812,22.7137746735395,44.4592334494774,63.9834507042254,21.8,17.33408,25.6,32.28893,1.13016894609815,1.0090432354326,0.0473639455782315,1.90688253741042,1.52329374589162,2.29047132892923,0.769349338053959,0.702354632871929,0.83634404323599,1.03679801515459e-93,0.30187319258,"sig"
