"House.Number","Visit","Type.of.Air.Conditioner","Date","intercept","intercept.lower","intercept.upper","slope","slope.lower","slope.upper","p.value","r.squared","sig"
"H19","V3","Evaporative",2023-08-31 18:51:00,0.905724282853888,0.726980410724503,1.08446815498327,0.0956326943282531,0.0638820966652184,0.127383291991288,4.35436324651612e-09,"0.02506431535","sig"
"H20","V1","Evaporative",2022-09-08 19:04:00,6.0896587897305,5.16491825716279,7.01439932229821,0.816474054187477,0.792092308509839,0.840855799865114,0,"0.75756275535","sig"
"H21","V1","Evaporative",2022-09-08 19:44:00,-4.10997452559087,-5.20574447848037,-3.01420457270136,1.01355484736873,0.984051792279456,1.04305790245801,0,"0.76631080924","sig"
"H21","V2","Evaporative",2022-12-08 17:36:00,5.32466227484147,5.17956642465985,5.4697581250231,0.0249537661416489,0.0190321334690842,0.0308753988142135,3.20759550500407e-16,"0.04724757764","sig"
"H22","V1","Evaporative",2022-09-12 17:35:00,0.592475146595667,0.258571826598003,0.926378466593331,1.01192732213423,0.983719057865332,1.04013558640314,0,"0.77654050394","sig"
"H22","V2","Evaporative",2023-03-03 17:55:00,7.56524156322306,7.11599776168294,8.01448536476319,-0.0806640998964226,-0.127843525260391,-0.0334846745324544,0.00087022747629875,"0.03861324327","sig"
"H23","V1","Evaporative",2022-09-12 18:05:00,-0.691637795015071,-0.860078497660186,-0.523197092369957,1.02957955051473,1.01197449651642,1.04718460451305,0,"0.90174427994","sig"
"H23","V2","Evaporative",2023-04-06 17:50:00,1.71625916710516,1.60381701028884,1.82870132392149,-0.0500248011131829,-0.072600372114012,-0.0274492301123537,1.88533590966716e-05,"0.07298219223","sig"
"H24","V1","Evaporative",2023-07-13 18:06:00,6.20297446528972,5.87498427120405,6.53096465937539,0.237477706689535,0.200358139113673,0.274597274265397,2.69696007823073e-34,"0.10211011229","sig"
"H25","V1","Evaporative",2023-07-13 19:13:00,9.64092986044207,9.09715773159134,10.1847019892928,-0.183524327989621,-0.23498597208064,-0.132062683898602,4.09246376447995e-12,"0.03410679223","sig"
"H26","V1","Evaporative",2023-07-20 13:40:00,2.92731427907403,2.54669311222493,3.30793544592312,0.488803242096905,0.450658819162518,0.526947665031293,1.02522927611568e-79,"0.65207353013","sig"
"H26","V2","Evaporative",2023-08-28 18:01:00,5.43496755659754,5.17454956164612,5.69538555154896,0.359008573219248,0.319186271280404,0.398830875158093,2.00852566572247e-63,"0.18007581516","sig"
"H28","V1","Evaporative",2023-07-27 14:47:00,6.1282332783359,5.88616547181023,6.37030108486157,0.0674910086295178,0.0463114721423187,0.0886705451167168,5.40514587110479e-10,"0.02722912342","sig"
"H29","V2","Evaporative",2023-08-21 18:21:00,3.40189224710677,3.23264600070745,3.57113849350609,0.196218725125576,0.157417967485025,0.235019482766127,2.3364725249535e-22,"0.07534912779","sig"
"H30","V1","Evaporative",2023-08-10 17:31:00,3.26437820783665,3.06295168360864,3.46580473206467,0.199711477811582,0.175794937109375,0.223628018513789,2.27058967169172e-55,"0.15892510139","sig"
"H31","V1","Central",2023-08-24 17:54:00,2.31774665454751,1.51640941954035,3.11908388955468,0.380664628765918,0.322343322521163,0.438985935010674,1.32889165173411e-35,"0.10330166260","sig"
"H32","V1","Evaporative",2023-08-28 18:39:00,6.28198981018801,5.97245865984905,6.59152096052697,0.0620340699295754,0.0229966238699296,0.101071515989221,0.00186221765177632,"0.00677276114","sig"
"H33","V1","Central",2023-08-31 18:00:00,2.56306011778613,2.41645361212998,2.70966662344229,-0.138178196866733,-0.163078485520088,-0.113277908213378,2.35704359383692e-26,"0.09264412300","sig"
