"filename","average.RH","std.dev.RH","min.RH","max.RH","average.temperature.Celsius","std.dev.temperature","min.temperature","max.temperature","time.hours","House.Number","Visit","Sample.Location","Type of Air Conditioner"
"H18_V2_Out",45.8476868327402,13.2746107013729,24.5,70.6,1.90711743772242,2.64262164547994,-1.4,7.3,23.4166666666667,"H18","V2","Out","Evaporative"
"H19_V1_In",40.7435087719298,16.3230244896661,18.6,61.6,22.0810526315789,1.12687665728832,19.7,25.1,23.75,"H19","V1","In","Evaporative"
"H19_V1_Out",19.1656140350877,4.10521096949081,7.8,29,27.4063157894737,6.54003613494641,18,46.3,23.75,"H19","V1","Out","Evaporative"
"H19_V2_In",24.8486301369863,0.842165128274189,23.4,28.8,18.9472602739726,1.03735688487382,17.1,20,24.3333333333333,"H19","V2","In","Evaporative"
"H19_V2_Out",33.247602739726,8.69735282275181,15.8,57.3,4.08356164383562,3.14920002708941,-0.7,13.4,24.3333333333333,"H19","V2","Out","Evaporative"
"H20_V1_In",31.2480701754386,7.43212276052088,14.6,52.1,25.3835087719298,0.972930253909332,23.9,27.9,23.75,"H20","V1","In","Evaporative"
"H20_V1_Out",31.3989361702128,20.0482540378817,1.9,73.2,25.8666666666667,9.29281409647013,13.2,52,23.5,"H20","V1","Out","Evaporative"
"H21_V1_In",44.4914590747331,10.5838150530791,20,57.5,21.8320284697509,1.97660580629328,17.8,24.6,23.4166666666667,"H21","V1","In","Evaporative"
"H21_V1_Out",33.5336917562724,14.5005610530863,4.4,57,25.6942652329749,9.94543581814551,14.6,55.4,23.25,"H21","V1","Out","Evaporative"
"H21_V2_In",24.1089285714286,2.14483431996801,19.3,38.4,20.6857142857143,0.703964342996829,18.4,23.6,23.3333333333333,"H21","V2","In","Evaporative"
"H21_V2_Out",69.2342960288809,20.3051632067826,14.8,88.3,1.21768953068592,5.58003795935989,-4.1,21.3,23.0833333333333,"H21","V2","Out","Evaporative"
"H22_V1_In",54.809375,6.69613354750805,44.6,70.7,20.9961805555556,0.753911515735022,19.8,22.9,24,"H22","V1","In","Evaporative"
"H22_V1_Out",41.6529616724739,13.2513457533471,14.7,72,22.5954703832753,2.91991241336828,18.5,30.4,23.9166666666667,"H22","V1","Out","Evaporative"
"H22_V2_In",19.8681818181818,0.697968115054817,18.5,24.5,21.4587412587413,0.855760966078538,19.4,22.6,23.8333333333333,"H22","V2","In","Evaporative"
"H22_V2_Out",52.2965034965035,7.9070203103133,24.5,62.5,0.193006993006993,3.33336456861822,-3.9,13,23.8333333333333,"H22","V2","Out","Evaporative"
"H23_V1_In",57.0624137931034,4.57842099310674,49,66.3,21.1262068965517,0.504103670566796,20.5,22.3,24.1666666666667,"H23","V1","In","Evaporative"
"H23_V1_Out",47.9996527777778,17.8197410365786,18.9,95.1,22.1756944444444,3.84601239763427,15.4,31.5,24.0833333333333,"H23","V1","Out","Evaporative"
"H23_V2_In",19.5597902097902,1.99246615011207,14.3,23.2,20.2440559440559,1.58291857367787,17.6,24.3,23.8333333333333,"H23","V2","In","Evaporative"
"H23_V2_Out",25.3534965034965,11.5285049476529,3.3,42.5,10.9555944055944,10.5385817563331,0.7,39.1,23.8333333333333,"H23","V2","Out","Evaporative"
