"STATION","NAME","DATE","TMAX"
"USC00427064","PROVO BYU, UT US","2022-10-05","78"
"USC00427064","PROVO BYU, UT US","2022-10-06","79"
"USC00427064","PROVO BYU, UT US","2022-10-07","80"
"USC00427064","PROVO BYU, UT US","2022-10-08","80"
"USC00427064","PROVO BYU, UT US","2022-10-09","79"
"USC00427064","PROVO BYU, UT US","2022-10-10","77"
"USC00427064","PROVO BYU, UT US","2022-10-11","76"
"USC00427064","PROVO BYU, UT US","2022-10-12","75"
"USC00427064","PROVO BYU, UT US","2022-10-13","74"
"USC00427064","PROVO BYU, UT US","2022-10-14","75"
"USC00427064","PROVO BYU, UT US","2022-10-15","75"
"USC00427064","PROVO BYU, UT US","2022-10-16","76"
"USC00427064","PROVO BYU, UT US","2022-10-17","76"
"USC00427064","PROVO BYU, UT US","2022-10-18","76"
"USC00427064","PROVO BYU, UT US","2022-10-19","74"
"USC00427064","PROVO BYU, UT US","2022-10-20","76"
"USC00427064","PROVO BYU, UT US","2022-10-21","76"
"USC00427064","PROVO BYU, UT US","2022-10-22","74"
"USC00427064","PROVO BYU, UT US","2022-10-23","45"
"USC00427064","PROVO BYU, UT US","2022-10-24","48"
"USC00427064","PROVO BYU, UT US","2022-10-25","49"
"USC00427064","PROVO BYU, UT US","2022-10-26","54"
"USC00427064","PROVO BYU, UT US","2022-10-27","46"
"USC00427064","PROVO BYU, UT US","2022-10-28","59"
"USC00427064","PROVO BYU, UT US","2022-10-29","57"
"USC00427064","PROVO BYU, UT US","2022-10-30","57"
"USC00427064","PROVO BYU, UT US","2022-10-31","61"
"USC00427064","PROVO BYU, UT US","2022-11-01","65"
"USC00427064","PROVO BYU, UT US","2022-11-02","62"
"USC00427064","PROVO BYU, UT US","2022-11-03","42"
"USC00427064","PROVO BYU, UT US","2022-11-04","41"
"USC00427064","PROVO BYU, UT US","2022-11-05","50"
"USC00427064","PROVO BYU, UT US","2022-11-06","47"
"USC00427064","PROVO BYU, UT US","2022-11-07","58"
"USC00427064","PROVO BYU, UT US","2022-11-08","60"
"USC00427064","PROVO BYU, UT US","2022-11-09","49"
"USC00427064","PROVO BYU, UT US","2022-11-10","40"
"USC00427064","PROVO BYU, UT US","2022-11-11","39"
"USC00427064","PROVO BYU, UT US","2022-11-12","47"
"USC00427064","PROVO BYU, UT US","2022-11-13","42"
"USC00427064","PROVO BYU, UT US","2022-11-14","38"
"USC00427064","PROVO BYU, UT US","2022-11-15","40"
"USC00427064","PROVO BYU, UT US","2022-11-16","41"
"USC00427064","PROVO BYU, UT US","2022-11-17","45"
"USC00427064","PROVO BYU, UT US","2022-11-18","39"
"USC00427064","PROVO BYU, UT US","2022-11-19","37"
"USC00427064","PROVO BYU, UT US","2022-11-20","42"
"USC00427064","PROVO BYU, UT US","2022-11-21","45"
"USC00427064","PROVO BYU, UT US","2022-11-22","47"
"USC00427064","PROVO BYU, UT US","2022-11-23","46"
"USC00427064","PROVO BYU, UT US","2022-11-24","44"
"USC00427064","PROVO BYU, UT US","2022-11-25","46"
"USC00427064","PROVO BYU, UT US","2022-11-26","41"
"USC00427064","PROVO BYU, UT US","2022-11-27","44"
"USC00427064","PROVO BYU, UT US","2022-11-28","44"
"USC00427064","PROVO BYU, UT US","2022-11-29","33"
"USC00427064","PROVO BYU, UT US","2022-11-30","47"
"USC00427064","PROVO BYU, UT US","2022-12-01","46"
"USC00427064","PROVO BYU, UT US","2022-12-02","49"
"USC00427064","PROVO BYU, UT US","2022-12-03","40"
"USC00427064","PROVO BYU, UT US","2022-12-04","55"
"USC00427064","PROVO BYU, UT US","2022-12-05","51"
"USC00427064","PROVO BYU, UT US","2022-12-06","38"
"USC00427064","PROVO BYU, UT US","2022-12-07","32"
"USC00427064","PROVO BYU, UT US","2022-12-08","37"
"USC00427064","PROVO BYU, UT US","2022-12-09","45"
"USC00427064","PROVO BYU, UT US","2022-12-10","43"
"USC00427064","PROVO BYU, UT US","2022-12-11","51"
"USC00427064","PROVO BYU, UT US","2022-12-12","43"
"USC00427064","PROVO BYU, UT US","2022-12-13","30"
"USC00427064","PROVO BYU, UT US","2022-12-14","31"
"USC00427064","PROVO BYU, UT US","2022-12-15","32"
"USC00427064","PROVO BYU, UT US","2022-12-16","30"
"USC00427064","PROVO BYU, UT US","2022-12-17","29"
"USC00427064","PROVO BYU, UT US","2022-12-18","33"
"USC00427064","PROVO BYU, UT US","2022-12-19","37"
"USC00427064","PROVO BYU, UT US","2022-12-20","36"
"USC00427064","PROVO BYU, UT US","2022-12-21","42"
"USC00427064","PROVO BYU, UT US","2022-12-22","40"
"USC00427064","PROVO BYU, UT US","2022-12-23","32"
"USC00427064","PROVO BYU, UT US","2022-12-24","40"
"USC00427064","PROVO BYU, UT US","2022-12-25","42"
"USC00427064","PROVO BYU, UT US","2022-12-26","45"
"USC00427064","PROVO BYU, UT US","2022-12-27","50"
"USC00427064","PROVO BYU, UT US","2022-12-28","40"
"USC00427064","PROVO BYU, UT US","2022-12-29","41"
"USC00427064","PROVO BYU, UT US","2022-12-30","39"
"USC00427064","PROVO BYU, UT US","2022-12-31","46"
"USC00427064","PROVO BYU, UT US","2023-01-01","39"
"USC00427064","PROVO BYU, UT US","2023-01-02","34"
"USC00427064","PROVO BYU, UT US","2023-01-03","39"
"USC00427064","PROVO BYU, UT US","2023-01-04","44"
"USC00427064","PROVO BYU, UT US","2023-01-05","46"
"USC00427064","PROVO BYU, UT US","2023-01-06","40"
"USC00427064","PROVO BYU, UT US","2023-01-07","45"
"USC00427064","PROVO BYU, UT US","2023-01-08","49"
"USC00427064","PROVO BYU, UT US","2023-01-09","44"
"USC00427064","PROVO BYU, UT US","2023-01-10","51"
"USC00427064","PROVO BYU, UT US","2023-01-11","47"
"USC00427064","PROVO BYU, UT US","2023-01-12","46"
"USC00427064","PROVO BYU, UT US","2023-01-13","51"
"USC00427064","PROVO BYU, UT US","2023-01-14","52"
"USC00427064","PROVO BYU, UT US","2023-01-15","47"
"USC00427064","PROVO BYU, UT US","2023-01-16","39"
"USC00427064","PROVO BYU, UT US","2023-01-17","40"
"USC00427064","PROVO BYU, UT US","2023-01-18","33"
"USC00427064","PROVO BYU, UT US","2023-01-19","33"
"USC00427064","PROVO BYU, UT US","2023-01-20","36"
"USC00427064","PROVO BYU, UT US","2023-01-21","32"
"USC00427064","PROVO BYU, UT US","2023-01-22","29"
"USC00427064","PROVO BYU, UT US","2023-01-23","34"
"USC00427064","PROVO BYU, UT US","2023-01-24","30"
"USC00427064","PROVO BYU, UT US","2023-01-25","31"
"USC00427064","PROVO BYU, UT US","2023-01-26","33"
"USC00427064","PROVO BYU, UT US","2023-01-27","40"
"USC00427064","PROVO BYU, UT US","2023-01-28","41"
"USC00427064","PROVO BYU, UT US","2023-01-29","37"
"USC00427064","PROVO BYU, UT US","2023-01-30","24"
"USC00427064","PROVO BYU, UT US","2023-01-31","21"
"USC00427064","PROVO BYU, UT US","2023-02-01","30"
"USC00427064","PROVO BYU, UT US","2023-02-02","37"
"USC00427064","PROVO BYU, UT US","2023-02-03","47"
"USC00427064","PROVO BYU, UT US","2023-02-04","48"
"USC00427064","PROVO BYU, UT US","2023-02-05","46"
"USC00427064","PROVO BYU, UT US","2023-02-06","36"
"USC00427064","PROVO BYU, UT US","2023-02-07","37"
"USC00427064","PROVO BYU, UT US","2023-02-08","45"
"USC00427064","PROVO BYU, UT US","2023-02-09","38"
"USC00427064","PROVO BYU, UT US","2023-02-10","45"
"USC00427064","PROVO BYU, UT US","2023-02-11","49"
"USC00427064","PROVO BYU, UT US","2023-02-12","45"
"USC00427064","PROVO BYU, UT US","2023-02-13","47"
"USC00427064","PROVO BYU, UT US","2023-02-14","44"
"USC00427064","PROVO BYU, UT US","2023-02-15","34"
"USC00427064","PROVO BYU, UT US","2023-02-16","35"
"USC00427064","PROVO BYU, UT US","2023-02-17","45"
"USC00427064","PROVO BYU, UT US","2023-02-18","50"
"USC00427064","PROVO BYU, UT US","2023-02-19","47"
"USC00427064","PROVO BYU, UT US","2023-02-20","47"
"USC00427064","PROVO BYU, UT US","2023-02-21","47"
"USC00427064","PROVO BYU, UT US","2023-02-22","41"
"USC00427064","PROVO BYU, UT US","2023-02-23","34"
"USC00427064","PROVO BYU, UT US","2023-02-24","43"
"USC00427064","PROVO BYU, UT US","2023-02-25","48"
"USC00427064","PROVO BYU, UT US","2023-02-26","46"
"USC00427064","PROVO BYU, UT US","2023-02-27","41"
"USC00427064","PROVO BYU, UT US","2023-02-28","41"
"USC00427064","PROVO BYU, UT US","2023-03-01","38"
"USC00427064","PROVO BYU, UT US","2023-03-02","39"
"USC00427064","PROVO BYU, UT US","2023-03-03","40"
"USC00427064","PROVO BYU, UT US","2023-03-04","43"
"USC00427064","PROVO BYU, UT US","2023-03-05","44"
"USC00427064","PROVO BYU, UT US","2023-03-06","40"
"USC00427064","PROVO BYU, UT US","2023-03-07","42"
"USC00427064","PROVO BYU, UT US","2023-03-08","48"
"USC00427064","PROVO BYU, UT US","2023-03-09","51"
"USC00427064","PROVO BYU, UT US","2023-03-10","52"
"USC00427064","PROVO BYU, UT US","2023-03-11","52"
"USC00427064","PROVO BYU, UT US","2023-03-12","49"
"USC00427064","PROVO BYU, UT US","2023-03-13","56"
"USC00427064","PROVO BYU, UT US","2023-03-14","60"
"USC00427064","PROVO BYU, UT US","2023-03-15","52"
"USC00427064","PROVO BYU, UT US","2023-03-16","45"
"USC00427064","PROVO BYU, UT US","2023-03-17","46"
"USC00427064","PROVO BYU, UT US","2023-03-18","51"
"USC00427064","PROVO BYU, UT US","2023-03-19","55"
"USC00427064","PROVO BYU, UT US","2023-03-20","51"
"USC00427064","PROVO BYU, UT US","2023-03-21","49"
"USC00427064","PROVO BYU, UT US","2023-03-22","49"
"USC00427064","PROVO BYU, UT US","2023-03-23","45"
"USC00427064","PROVO BYU, UT US","2023-03-24","40"
"USC00427064","PROVO BYU, UT US","2023-03-25","34"
"USC00427064","PROVO BYU, UT US","2023-03-26","35"
"USC00427064","PROVO BYU, UT US","2023-03-27","41"
"USC00427064","PROVO BYU, UT US","2023-03-28","56"
"USC00427064","PROVO BYU, UT US","2023-03-29","60"
"USC00427064","PROVO BYU, UT US","2023-03-30","57"
"USC00427064","PROVO BYU, UT US","2023-03-31","46"
"USC00427064","PROVO BYU, UT US","2023-04-01","60"
"USC00427064","PROVO BYU, UT US","2023-04-02","61"
"USC00427064","PROVO BYU, UT US","2023-04-03","57"
"USC00427064","PROVO BYU, UT US","2023-04-04","34"
"USC00427064","PROVO BYU, UT US","2023-04-05","39"
"USC00427064","PROVO BYU, UT US","2023-04-06","50"
"USC00427064","PROVO BYU, UT US","2023-04-07","64"
"USC00427064","PROVO BYU, UT US","2023-04-08","66"
"USC00427064","PROVO BYU, UT US","2023-04-09","69"
"USC00427064","PROVO BYU, UT US","2023-04-10","76"
"USC00427064","PROVO BYU, UT US","2023-04-11","83"
"USC00427064","PROVO BYU, UT US","2023-04-12","80"
"USC00427064","PROVO BYU, UT US","2023-04-13","73"
