"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/13/2023","AQS","490494001","2","0.038","ppm","35","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"03/14/2023","AQS","490494001","2","0.039","ppm","36","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"03/15/2023","AQS","490494001","2","0.038","ppm","35","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"03/16/2023","AQS","490494001","2","0.047","ppm","44","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"03/17/2023","AQS","490494001","2","0.053","ppm","49","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"03/18/2023","AQS","490494001","2","0.048","ppm","44","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"03/19/2023","AQS","490494001","2","0.048","ppm","44","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"03/20/2023","AQS","490494001","2","0.041","ppm","38","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"03/21/2023","AQS","490494001","2","0.045","ppm","42","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"03/22/2023","AQS","490494001","2","0.05","ppm","46","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
