Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
2/27/2022,AQS,490494001,2,0.041,ppm,38,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/28/2022,AQS,490494001,2,0.037,ppm,34,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/1/2022,AQS,490494001,2,0.034,ppm,31,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/2/2022,AQS,490494001,2,0.031,ppm,29,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/3/2022,AQS,490494001,2,0.041,ppm,38,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/4/2022,AQS,490494001,2,0.048,ppm,44,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/5/2022,AQS,490494001,2,0.042,ppm,39,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/6/2022,AQS,490494001,2,0.044,ppm,41,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/7/2022,AQS,490494001,2,0.043,ppm,40,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/8/2022,AQS,490494001,2,0.04,ppm,37,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/9/2022,AQS,490494001,2,0.042,ppm,39,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/10/2022,AQS,490494001,2,0.042,ppm,39,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/11/2022,AQS,490494001,2,0.044,ppm,41,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/12/2022,AQS,490494001,2,0.045,ppm,42,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/13/2022,AQS,490494001,2,0.043,ppm,40,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/14/2022,AQS,490494001,2,0.044,ppm,41,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/15/2022,AQS,490494001,2,0.044,ppm,41,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/16/2022,AQS,490494001,2,0.042,ppm,39,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/17/2022,AQS,490494001,2,0.042,ppm,39,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/18/2022,AQS,490494001,2,0.045,ppm,42,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/19/2022,AQS,490494001,2,0.047,ppm,44,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/20/2022,AQS,490494001,2,0.044,ppm,41,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/21/2022,AQS,490494001,2,0.042,ppm,39,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/22/2022,AQS,490494001,2,0.044,ppm,41,Lindon,13,76,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/23/2022,AQS,490494001,2,0.048,ppm,44,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/24/2022,AQS,490494001,2,0.039,ppm,36,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
