"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"02/06/2022","AQS","490494001","1","8.6","ug/m3 LC","48","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"02/07/2022","AQS","490494001","1","11.8","ug/m3 LC","56","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"02/08/2022","AQS","490494001","1","10.1","ug/m3 LC","53","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"02/09/2022","AQS","490494001","1","10.9","ug/m3 LC","54","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"02/10/2022","AQS","490494001","1","11.5","ug/m3 LC","55","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"02/11/2022","AQS","490494001","1","7.9","ug/m3 LC","44","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"02/12/2022","AQS","490494001","1","5.8","ug/m3 LC","32","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"02/13/2022","AQS","490494001","1","6.7","ug/m3 LC","37","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"02/14/2022","AQS","490494001","1","3.5","ug/m3 LC","19","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"02/15/2022","AQS","490494001","1","4","ug/m3 LC","22","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"02/16/2022","AQS","490494001","1","3.4","ug/m3 LC","19","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"02/17/2022","AQS","490494001","1","7.9","ug/m3 LC","44","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"02/18/2022","AQS","490494001","1","5.9","ug/m3 LC","33","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"02/19/2022","AQS","490494001","1","4.9","ug/m3 LC","27","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"02/20/2022","AQS","490494001","1","2","ug/m3 LC","11","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"02/21/2022","AQS","490494001","1","3.3","ug/m3 LC","18","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"02/22/2022","AQS","490494001","1","3.9","ug/m3 LC","22","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"02/23/2022","AQS","490494001","1","5.1","ug/m3 LC","28","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"02/24/2022","AQS","490494001","1","6.3","ug/m3 LC","35","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"02/25/2022","AQS","490494001","1","4.1","ug/m3 LC","23","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"02/26/2022","AQS","490494001","1","6.8","ug/m3 LC","38","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"02/27/2022","AQS","490494001","1","8.9","ug/m3 LC","49","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"02/28/2022","AQS","490494001","1","11","ug/m3 LC","55","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"03/01/2022","AQS","490494001","1","11.1","ug/m3 LC","55","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"03/02/2022","AQS","490494001","1","8.3","ug/m3 LC","46","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"03/03/2022","AQS","490494001","1","3.6","ug/m3 LC","20","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"03/04/2022","AQS","490494001","1","4","ug/m3 LC","22","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"03/05/2022","AQS","490494001","1","1.7","ug/m3 LC","9","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"03/06/2022","AQS","490494001","1","1.8","ug/m3 LC","10","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"03/07/2022","AQS","490494001","1","4.7","ug/m3 LC","26","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"03/08/2022","AQS","490494001","1","3.3","ug/m3 LC","18","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"03/09/2022","AQS","490494001","1","1.5","ug/m3 LC","8","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"03/10/2022","AQS","490494001","1","3.5","ug/m3 LC","19","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"03/11/2022","AQS","490494001","1","3","ug/m3 LC","17","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"03/12/2022","AQS","490494001","1","3.9","ug/m3 LC","22","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"03/13/2022","AQS","490494001","1","2","ug/m3 LC","11","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"03/14/2022","AQS","490494001","1","2.7","ug/m3 LC","15","Lindon","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
